sub,onset,offset,cat,tier,reli
10,206.723,209.199,come la bomboletta della mamma più. (RE),Caregiver voc,original
10,206.84,209.17,come la bomboletta della mamma più (RE),Caregiver voc,reli
10,211.42,212.86,eh chiudi adesso su (C DA C),Caregiver voc,reli
10,211.455,212.808,eh chiudi adesso su (C DA C),Caregiver voc,original
10,217.86,218.404,e poi? (O),Caregiver voc,original
10,217.95,218.28,e poi? (O),Caregiver voc,reli
10,219.459,225.385,prendi quello blu dai no quello blu quello ci va sopra. (DA C RE RE) ,Caregiver voc,original
10,219.63,225.12,prendi quello blu dai no quello blu quello ci va sopra (DA C RE RE),Caregiver voc,reli
10,228.583,229.088,là (RE),Caregiver voc,original
10,228.66,228.95,la (RE),Caregiver voc,reli
10,230.459,231.199,giallo (CW),Infant voc,original
10,230.47,231.03,giallo (CW),Infant voc,reli
10,231.199,232.812,giallo dov’è l’altro giallo? (QE),Caregiver voc,original
10,231.2,232.79,giallo dov'è l'altro giallo? (QE),Caregiver voc,reli
10,233.542,235.686,qua metti chiudi. (DA DA),Caregiver voc,original
10,233.73,235.55,qua metti chiudi (DA DA),Caregiver voc,reli
10,240.022,243.827,brava quasi e quello verde? (AE QE) ,Caregiver voc,original
10,240.14,243.85,brava quasi e quello verde? (AE QE),Caregiver voc,reli
10,244.974,246.406,xxx,Caregiver voc,original
10,246.924,248.52,xxx,Caregiver voc,original
10,249.964,250.539,haha,Infant voc,original
10,250.16,250.52,haha,Infant voc,reli
10,250.52,251.25,heehee (C),Caregiver voc,reli
10,250.539,251.196,heehee (C),Caregiver voc,original
10,251.988,253.203,ecco (C),Caregiver voc,original
10,252.24,253.11,ecco (C),Caregiver voc,reli
10,253.237,253.909,se,Infant voc,original
10,253.47,253.75,se,Infant voc,reli
10,254.172,255.225,cosa fa la mamma adesso? (QM),Caregiver voc,original
10,254.28,255.51,cosa fa la mamma adesso? (QM),Caregiver voc,reli
10,255.228,257.805,guarda prendi quello verde te (DA DA),Caregiver voc,original
10,256.73,257.77,guarda prendi quello cerde te (DA DA),Caregiver voc,reli
10,264.675,265.889,no no no (CW),Infant voc,original
10,264.99,265.81,no no no (CW),Infant voc,reli
10,267.389,269.549,no no no oh (C),Caregiver voc,original
10,267.5,269.4,no no no oh (C),Caregiver voc,reli
10,272.998,273.805,no no no (CW),Infant voc,original
10,273.18,273.82,no no no (CW),Infant voc,reli
10,273.808,274.604, no no no (C),Caregiver voc,original
10,273.81,274.65,no no no  (C),Caregiver voc,reli
10,274.626,275.208,xxx,Infant voc,original
10,276.803,277.186,no (CW),Infant voc,original
10,276.84,276.98,no (CW),Infant voc,reli
10,277.402,277.805,no (C),Caregiver voc,original
10,277.41,277.66,no (C),Caregiver voc,reli
10,280.331,281.001,no no no (CW),Infant voc,original
10,280.47,281.04,no no no (CW),Infant voc,reli
10,281.005,284.409,no no no alla Mariella? (C NC) ,Caregiver voc,original
10,281.1,284.35,no no no alla Mariella? (C NC),Caregiver voc,reli
10,284.34,284.61,no no (C NC),Infant voc,reli
10,284.412,284.803,no no (CW),Infant voc,original
10,284.745,287.336,no no no mettiamo via allora? (C W) ,Caregiver voc,original
10,284.78,288.25,no no no mettiamo via allora?(C W) dai metti via su (DA C),Caregiver voc,reli
10,287.339,288.428,dai metti via su (DA C),Caregiver voc,original
10,293.568,294.003,no? (C),Infant voc,original
10,293.7,293.91,no (CW),Infant voc,reli
10,295.865,296.418,no (CW),Caregiver voc,original
10,295.97,296.4,no? (C),Caregiver voc,reli
10,297.22,297.41,no (CW),Infant voc,reli
10,297.646,298.409,cucù?	(AR),Caregiver voc,original
10,297.75,298.29,cucù? (AR),Caregiver voc,reli
10,299.23,300.48,xxx,Infant voc,reli
10,299.312,299.721,xxx,Infant voc,original
10,300.119,300.506,xxx,Infant voc,original
10,300.508,301.011,cucù?	(AR),Caregiver voc,original
10,300.61,300.97,cucù? (AR),Caregiver voc,reli
10,301.919,302.399,haha,Infant voc,original
10,301.93,302.13,haha,Infant voc,reli
10,302.285,304.795,haha dai mettiamo via quello blu dai. (C W C),Caregiver voc,original
10,302.45,304.73,haha dai mettiamo via quello blu dai (C W C),Caregiver voc,reli
10,305.1,305.3,mm,Infant voc,reli
10,305.22,305.556,mm,Infant voc,original
10,305.424,306.952,blu e sopra il giallo. (RE RE),Caregiver voc,original
10,305.61,306.95,blue e sopra il giallo  (RE RE),Caregiver voc,reli
10,308.416,308.808,no (CW),Infant voc,original
10,308.42,308.71,no (CW),Infant voc,reli
10,308.793,310.01,dai giallo. (RE),Caregiver voc,original
10,308.91,309.77,dai giallo (RE),Caregiver voc,reli
10,312.844,313.404,rosso (CW),Infant voc,original
10,312.96,313.47,rosso (CW),Infant voc,reli
10,313.558,318.092,il verde adesso no il rosso verde prima dov’è il verde? (RE AD QE),Caregiver voc,original
10,314.19,318.0,il verde adesso no il rosso verde prima dov'è il verde? ( RE AD QE),Caregiver voc,reli
10,318.887,320.726,uno e l’altro dov’è?	 (RE QE),Caregiver voc,original
10,319.11,320.6,uno e l'altro dov'è? (RE QE),Caregiver voc,reli
10,321.66,322.744,guarda qua dov’è (DA),Caregiver voc,original
10,321.73,322.59,guarda qua dov'è? (DA),Caregiver voc,reli
10,326.179,328.001,chiudi chiudi (DA),Caregiver voc,original
10,326.31,328.14,chudi chiudi (DA),Caregiver voc,reli
10,328.006,329.802,ah xx,Infant voc,original
10,328.2,329.68,ah xx ,Infant voc,reli
10,330.571,332.204,vuoi aprire tutto un’altra volta?	(QA),Caregiver voc,original
10,330.62,332.23,vuoi aprire tutto un'altra volta (QA),Caregiver voc,reli
10,336.104,337.387,sei un po’ sudata vero cicci?	 (RO NE),Caregiver voc,original
10,336.19,338.05,sie un po' sudata vero cici? (RO NE) caldo? (QO),Caregiver voc,reli
10,337.447,338.083,caldo? (QO),Caregiver voc,original
10,341.221,342.527,hai caldo Mariella? (QO NC),Caregiver voc,original
10,341.36,342.29,hai caldo Mariella? (QO NC),Caregiver voc,reli
10,343.802,344.39,Mariella? (NC),Caregiver voc,original
10,343.89,344.47,Mariella? (NC),Caregiver voc,reli
10,345.158,345.788,hai caldo? (QO),Caregiver voc,original
10,345.27,345.64,no (CW),Infant voc,reli
10,345.708,346.218,no (CW),Infant voc,original
10,345.83,346.09,no? (C),Caregiver voc,reli
10,366.836,368.1,no così (AD),Caregiver voc,original
10,367.0,368.01,no così (AD),Caregiver voc,reli
10,370.575,371.402,no così.(AD),Caregiver voc,original
10,370.77,371.49,no così (AD),Caregiver voc,reli
10,376.962,386.109,no così così guarda ecco là eh (AD DA C OP)  ,Caregiver voc,original
10,377.01,386.22,no così guarda ecco là eh (AD DA C OP),Caregiver voc,reli
10,398.701,402.407,gnamgnam@o gelato. (OP RE),Caregiver voc,original
10,398.93,402.27,gnamgnam@o gelato (OP RE),Caregiver voc,reli
10,403.568,408.196, mm gnamgnamgnam@o (C OP) ,Caregiver voc,original
10,403.65,408.1,mm gnamgnamgnam@o (C OP),Caregiver voc,reli
10,411.366,412.817,ma chi è questa bambolo? (QE),Caregiver voc,original
10,411.52,412.88,ma chi è questa bambolo (QE),Caregiver voc,reli
10,413.285,416.348,oh chi è questa bamboletta? (C QE),Caregiver voc,original
10,414.9,416.26,o chie è questa bamboletta? (C QE),Caregiver voc,reli
10,416.358,417.059, la mamma (CW),Infant voc,original
10,416.36,417.13,la mamma (CW),Infant voc,reli
10,417.226,418.008,è la mamma?	 (QE),Caregiver voc,original
10,417.3,418.12,è la mamma? (QE),Caregiver voc,reli
10,418.52,419.604,è mio. (CW),Infant voc,original
10,418.66,419.33,è mio (CW),Infant voc,reli
10,419.57,420.28,è tuo? (QE),Caregiver voc,reli
10,419.622,420.204,è tuo? (QE),Caregiver voc,original
10,420.414,420.774,no (CW),Infant voc,original
10,421.105,422.807,ma è tuo o è della mamma?	(QE),Caregiver voc,original
10,421.28,422.71,ma è tuo o è della mamma? (QE),Caregiver voc,reli
10,422.96,423.411,tuo (CW),Infant voc,original
10,423.04,423.32,tuo (CW),Infant voc,reli
10,423.721,424.701,di chi è quella? (QE),Caregiver voc,original
10,423.83,424.73,di chi è quella? (QE),Caregiver voc,reli
10,425.213,426.02,questo? (CW),Infant voc,original
10,425.32,426.04,questo (CW),Infant voc,reli
10,426.24,427.49,dimmi di chi è quella? (DA),Caregiver voc,reli
10,426.308,427.706,dimmi di chi è quella? (DA),Caregiver voc,original
10,427.71,428.26,è mio (CW),Infant voc,reli
10,427.718,428.406,è mio (CW),Infant voc,original
10,428.38,431.713,ah è tua e della mamma cosa c’è qua dentro? (C RE QE) ,Caregiver voc,original
10,428.42,431.76,ah è tua e della mamma cosa c'è qua dentro? (C RE QE),Caregiver voc,reli
10,432.356,433.401,cos’è della mamma? (QE),Caregiver voc,original
10,432.46,433.28,cos'è della mamma? (QE),Caregiver voc,reli
10,433.52,434.947,mi dai qualcosa mio? (QA),Caregiver voc,original
10,433.77,435.13,mi dai qualcosa mio? (QA),Caregiver voc,reli
10,436.083,437.604,quale cosa mi dai?	(QA),Caregiver voc,original
10,436.15,437.65,xxx,Caregiver voc,reli
10,439.232,440.006,la palla? (QE),Caregiver voc,original
10,439.37,440.27,la palla? (QE),Caregiver voc,reli
10,440.211,440.607,sì (CW),Infant voc,original
10,440.34,440.57,sì (CW),Infant voc,reli
10,440.745,441.766,è mia la palla. (RE),Caregiver voc,original
10,440.77,441.86,è mia la palla (RE),Caregiver voc,reli
10,441.892,442.187,sì (CW),Infant voc,original
10,442.218,445.209,va bene grazie e dopo cosa mi dai?	(AE QA) ,Caregiver voc,original
10,442.3,445.24,va ene graze e dopo cosa mi dai? (AE QA),Caregiver voc,reli
10,447.092,447.767,que(s)ta (CW),Infant voc,original
10,447.35,447.7,que(s)ta (CW),Infant voc,reli
10,447.779,449.324,anche questa mi dai? (QA),Caregiver voc,original
10,447.9,449.31,anche questa mi dai? (QA),Caregiver voc,reli
10,449.378,449.74,sì (CW),Infant voc,original
10,449.43,449.65,sì (CW),Infant voc,reli
10,449.67,450.91,grazie (AE),Caregiver voc,reli
10,449.718,450.912,grazie (AE),Caregiver voc,original
10,452.298,453.817,e dopo cosa mi dai? (QA),Caregiver voc,original
10,452.47,453.81,e dopo cosa mi dai? (QA),Caregiver voc,reli
10,455.206,455.883,xxx,Infant voc,original
10,455.42,455.74,xxx,Infant voc,reli
10,455.972,457.317,anche questo? (QE),Caregiver voc,original
10,456.03,457.16,anche questo? (QE),Caregiver voc,reli
10,457.508,459.005,anche il telefono? (QE),Caregiver voc,original
10,457.55,458.91,anche il telefono (QE),Caregiver voc,reli
10,458.87,459.361,mm,Infant voc,original
10,458.94,459.18,mm,Infant voc,reli
10,459.472,460.343,sul serio? (O),Caregiver voc,original
10,459.63,460.46,sul serio? (O),Caregiver voc,reli
10,460.924,467.203,oh grazie grazie che gentile e dopo cos’altro mi dai? (AE RO QA) ,Caregiver voc,original
10,461.046,467.32,oh grazie grazie che gentile e dopo cos' altro mi dai? (AE RO QA),Caregiver voc,reli
10,468.448,468.989,ino,Infant voc,original
10,468.545,468.976,ino,Infant voc,reli
10,468.964,471.399,il piattino mm (RE C),Caregiver voc,original
10,469.029,471.522,il piattino mm (RE C),Caregiver voc,reli
10,474.08,474.832,xxx,Infant voc,original
10,474.106,474.792,xxx,Infant voc,reli
10,475.982,476.819,xxx,Infant voc,original
10,476.122,476.598,xxx,Infant voc,reli
10,478.223,480.351,n’altro anche quello mi dai?	(RE QA),Caregiver voc,original
10,478.399,480.33,n'altro anche quello mi dai? (RE QA),Caregiver voc,reli
10,480.769,482.522,vediamo se sta su ecco (W C),Caregiver voc,original
10,480.992,482.614,vediamo se stau su ecco (W C),Caregiver voc,reli
10,483.523,485.008,mettiamo anche il coperchietto (W),Caregiver voc,original
10,483.776,484.922,xxx,Caregiver voc,reli
10,487.109,488.489,oh oh oh oh oh oh oh. (C),Caregiver voc,original
10,487.283,490.283,oh oh oh oh oh oh  (C),Caregiver voc,reli
10,489.088,490.238,xxx,Caregiver voc,original
10,491.244,492.808,e dopo cos’altro mi dai? (QA),Caregiver voc,original
10,491.399,492.769,e dopo cos' altro mi dai? (QA),Caregiver voc,reli
10,493.08,493.798,xxx,Infant voc,original
10,493.261,493.661,xxx,Infant voc,reli
10,493.883,494.513,questi? (QE),Caregiver voc,original
10,494.007,494.453,questi? (QE),Caregiver voc,reli
10,494.96,495.802,tutti miei? (QE),Caregiver voc,original
10,495.115,495.884,tutti miei? (QE),Caregiver voc,reli
10,496.216,496.815,mm,Infant voc,original
10,496.245,496.422,mm,Infant voc,reli
10,496.324,499.532,grazie grazie (AE) ,Caregiver voc,original
10,496.438,499.438,grazie grazie (AE),Caregiver voc,reli
10,500.006,500.421,no (CW),Infant voc,original
10,500.098,501.298,no (CW),Infant voc,reli
10,500.691,501.172,xxx,Infant voc,original
10,500.722,500.922,no? (C),Caregiver voc,reli
10,500.754,501.191,no? (C),Caregiver voc,original
10,503.037,504.453,xxx,Infant voc,reli
10,504.088,504.517,xxx,Infant voc,original
10,504.194,505.604,è della mamma quello. (RM),Caregiver voc,original
10,504.322,505.568,è della mamma quello (RM),Caregiver voc,reli
10,506.615,509.276,è sì gliel' hai regalato alla mamma hai detto tuo tuo ( C RA RA),Caregiver voc,reli
10,506.639,509.411,è sì gliel’hai regalato alla mamma hai detto tuo tuo. (C RA RA),Caregiver voc,original
10,512.722,514.268,haha,Infant voc,reli
10,513.831,514.395,haha,Infant voc,original
10,514.399,514.998,è mio (CW),Infant voc,original
10,514.491,514.975,è mio (CW),Infant voc,reli
10,515.1,516.602,è tuo cosa è tuo?,Caregiver voc,original
10,515.238,516.599,è tuo cosa è tuo (QE),Caregiver voc,reli
10,516.6,517.208,eto,Infant voc,original
10,516.646,517.06,eto,Infant voc,reli
10,517.848,518.607,eto? (AM),Caregiver voc,original
10,518.053,518.538,eto? (AM),Caregiver voc,reli
10,518.822,519.307,mm,Infant voc,reli
10,518.897,519.407,mm,Infant voc,original
10,522.124,522.45,no (CW),Infant voc,original
10,522.23,522.438,no (CW),Infant voc,reli
10,524.711,529.906,e questo è mio e questo è mio oh oh oh.	(RE RE C) ,Caregiver voc,original
10,525.022,529.884,e questo è mio e questo è mio oh oh oh (RE RE C),Caregiver voc,reli
10,565.718,566.716,oh è mio (CW),Infant voc,original
10,565.814,566.453,oh è mio (CW),Infant voc,reli
10,566.206,566.955,no è mio. (C RE),Caregiver voc,original
10,566.284,566.953,no è mio (C RE),Caregiver voc,reli
10,567.276,569.699,ahhh,Infant voc,reli
10,567.337,569.441,ahhh,Infant voc,original
10,567.861,569.007,ahhh (AM),Caregiver voc,original
10,567.914,570.199,ahhh xxx (AM),Caregiver voc,reli
10,569.067,569.472,xxx,Caregiver voc,original
10,569.604,570.895,xxx,Infant voc,original
10,572.569,573.913,haha,Infant voc,original
10,572.753,573.714,haha,Infant voc,reli
10,573.155,573.816,hehehe,Caregiver voc,original
10,573.322,573.684,hehehe,Caregiver voc,reli
10,574.421,576.181,ohiohiohio dove vai con la palla? (C QA),Caregiver voc,original
10,574.514,576.291,ohiohiohio dove vai con la palla? (C QA),Caregiver voc,reli
10,576.809,578.043,dove vai con la palla?,Caregiver voc,original
10,576.938,580.938,dove vai con la palla? vieni qua subito vieni qua subito (DA),Caregiver voc,reli
10,578.049,580.895,vieni qua subito vieni qua subito (DA),Caregiver voc,original
10,582.882,583.677,ehilà?	(C),Caregiver voc,original
10,583.029,583.875,ehilà? (C),Caregiver voc,reli
10,584.271,584.809,a zia (CW),Infant voc,original
10,584.291,584.906,a zia (CW),Infant voc,reli
10,584.891,585.676,vieni qua (DA),Caregiver voc,reli
10,584.917,585.593,vieni qua (DA),Caregiver voc,original
10,585.978,586.826,a zia (CW),Infant voc,original
10,586.052,586.822,a zia (CW),Infant voc,reli
10,586.844,589.091,la zia lasciala stare vieni qua su. (AD),Caregiver voc,original
10,586.946,589.022,la zia lasciala stare vieni qua su (AD),Caregiver voc,reli
18,0.281,1.403,hai visto quanti? (QA),Caregiver voc,original
18,0.318,1.473,hai visto quanti? (QA),Caregiver voc,reli
18,3.278,3.728,xxx,Caregiver voc,original
18,3.424,3.672,xxx,Caregiver voc,reli
18,4.515,5.601,vieni che facciamo la torre.	 (DA W),Caregiver voc,original
18,4.752,5.601,vieni che facciamo la torre.	 (DA W),Caregiver voc,reli
18,6.317,7.409,: facciamo la torre? (W),Caregiver voc,original
18,6.431,7.309,facciamo la torre? (W),Caregiver voc,reli
18,8.484,9.726,aiuti la mamma? (QA),Caregiver voc,original
18,8.625,9.642,aiuti la mamma? (QA),Caregiver voc,reli
18,10.193,10.81,tor(r)e (CW),Infant voc,original
18,10.346,10.561,tor(r)e (CW),Infant voc,reli
18,11.079,12.139,la torre sì (RE C),Caregiver voc,original
18,11.182,11.919,la torre sì (RE C),Caregiver voc,reli
18,12.49,13.071,la tor(r)e. (RE),Caregiver voc,reli
18,12.49,13.071,la tor(r)e. (RE),Caregiver voc,original
18,13.778,14.207,dai,Caregiver voc,original
18,13.921,14.207,dai,Caregiver voc,reli
18,15.514,16.32,: la tor(r)e.	,Caregiver voc,original
18,15.715,16.279,la tor(r)e.	,Caregiver voc,reli
18,16.453,18.195,quello più g(r)ande prima. (QE),Caregiver voc,original
18,16.642,18.195,quello più g(r)ande prima. (QE),Caregiver voc,reli
18,18.425,19.001,dai (DA) qui,Caregiver voc,original
18,18.588,19.138,dai (DA) qui,Caregiver voc,reli
18,19.498,22.003,eccola qua.	 (C) dai che facciamo qui la torre. (AE W),Caregiver voc,original
18,19.692,21.764,eccola qua.	  dai che facciamo qui la torre. (C AE W),Caregiver voc,reli
18,22.292,23.785,(a)spetta che questo si è aperto.	 (DA RE),Caregiver voc,reli
18,22.292,23.785,(a)spetta che questo si è aperto.	 (DA RE),Caregiver voc,original
18,23.862,25.904,mettilo bene xxx mamma xxx. (DA I) dai (AE),Caregiver voc,original
18,23.967,25.904,mettilo bene xxx mamma xxx.  dai (DA I AE),Caregiver voc,reli
18,26.029,26.901,mettilo qua.	(DA),Caregiver voc,original
18,26.177,26.901,mettilo qua.	(DA),Caregiver voc,reli
18,28.4,29.798,dai.	 (C) mettilo sopra quello (DA),Caregiver voc,original
18,28.558,29.898,dai.	  mettilo sopra quello (C DA),Caregiver voc,reli
18,30.735,31.304,qua. (C),Caregiver voc,original
18,30.914,31.304,qua. (C),Caregiver voc,reli
18,48.468,49.809,chi è questa amore? (QE NE),Caregiver voc,original
18,48.646,49.809,chi è questa amore? (QE NE),Caregiver voc,reli
18,50.625,51.804,chi è questa? (QE),Caregiver voc,original
18,50.836,51.804,chi è questa? (QE),Caregiver voc,reli
18,53.101,54.104,Francesco? (NC),Caregiver voc,original
18,53.237,54.034,Francesco? (NC),Caregiver voc,reli
18,57.32,58.132,chi è questa? (QE),Caregiver voc,original
18,57.505,58.132,chi è questa? (QE),Caregiver voc,reli
18,58.665,59.267,tata.,Infant voc,original
18,58.833,59.244,tata.,Infant voc,reli
18,59.285,60.121,e questo?	 (QE),Caregiver voc,original
18,59.457,60.121,e questo?	 (QE),Caregiver voc,reli
18,61.662,63.201,cos’è questo l’aereo? (QE),Caregiver voc,original
18,61.863,63.201,cos’è questo l’aereo? (QE),Caregiver voc,reli
18,64.695,65.795,cos’è questo? (QE),Caregiver voc,original
18,64.884,65.795,cos’è questo? (QE),Caregiver voc,reli
18,70.485,71.748,cos’è questo? ( -),Caregiver voc,original
18,70.621,71.748,cos’è questo? ( -),Caregiver voc,reli
18,73.293,75.184,oh che bravo checco (C AE NC),Caregiver voc,original
18,73.48,75.184,oh che bravo checco (C AE NC),Caregiver voc,reli
18,75.835,76.964,cos’è questo? (QE),Caregiver voc,original
18,76.02,76.964,cos’è questo? (QE),Caregiver voc,reli
18,79.331,80.612,cos’è questo? ( - ),Caregiver voc,original
18,79.62,80.612,cos’è questo? ( - ),Caregiver voc,reli
18,82.85,85.14,giochi da solo?	 (QA) non vuoi giocare con mami? (QA),Caregiver voc,original
18,83.083,85.076,giochi da solo?	  non vuoi giocare con mami? (QA QA),Caregiver voc,reli
18,92.12,95.248,guarda i cubi. (DA),Caregiver voc,original
18,92.255,95.248,guarda i cubi. (DA),Caregiver voc,reli
18,95.25,96.57,questo invece che cos’è? (QE),Caregiver voc,original
18,95.36,96.57,questo invece che cos’è? (QE),Caregiver voc,reli
18,97.237,98.44,miao,Infant voc,original
18,97.367,98.44,miao,Infant voc,reli
18,98.445,101.243,miao questo?	(QA) no (AD),Caregiver voc,original
18,98.632,101.243,miao questo?	no (QA AD),Caregiver voc,reli
18,101.25,104.042,cos’è? (QE) un uccellino questo.	(RE) non miao.,Caregiver voc,original
18,101.385,104.042,cos’è?  un uccellino questo.	non miao. (QE RE),Caregiver voc,reli
18,104.053,105.698,guarda. (DA),Caregiver voc,reli
18,104.053,105.698,guarda. (DA),Caregiver voc,original
18,107.056,107.907,bum.,Infant voc,original
18,107.187,107.695,bum.,Infant voc,reli
18,107.946,109.01,: e brum brum (OP),Caregiver voc,original
18,108.159,109.041,e brum brum (OP),Caregiver voc,reli
18,110.082,111.054,bum bum bum.	 (CWOP),Infant voc,original
18,110.161,111.054,bum bum bum.	 (CWOP),Infant voc,reli
18,111.064,113.44,brum brum. (OP) e questo cos’è? (QE) il telefono?,Caregiver voc,original
18,111.228,113.44,brum brum.  e questo cos’è?  il telefono? (OP QE),Caregiver voc,reli
18,115.496,117.145,cos’è questo il telefono?	 ( - ),Caregiver voc,original
18,115.722,117.145,cos’è questo il telefono?	 ( - ),Caregiver voc,reli
18,119.004,120.342,: come si chiama questo amore? (QE NE),Caregiver voc,original
18,119.189,120.342,come si chiama questo amore? (QE NE),Caregiver voc,reli
18,120.412,121.151,tello,Infant voc,original
18,120.579,121.09,tello,Infant voc,reli
18,121.282,122.375,: tello sì. (AM C),Caregiver voc,original
18,121.42,122.311,tello sì. (AM C),Caregiver voc,reli
18,123.254,124.659,: e questo qua? (QE),Caregiver voc,original
18,123.334,124.692,e questo qua? (QE),Caregiver voc,reli
18,124.77,127.81,cip cip. (OP) non ti ricordi più l’uccellino come fa (RO),Caregiver voc,original
18,125.062,127.81,cip cip.  non ti ricordi più l’uccellino come fa (OP RO),Caregiver voc,reli
18,130.514,131.36,e questo? (QE),Caregiver voc,reli
18,130.514,131.36,: e questo? (QE),Caregiver voc,original
18,131.718,132.239,aeo.,Infant voc,original
18,131.842,132.302,aeo.,Infant voc,reli
18,132.371,133.106,aeo.	(AM),Caregiver voc,original
18,132.588,133.302,aeo.	(AM),Caregiver voc,reli
18,133.114,134.385,sì. (C) aeo (AM),Caregiver voc,original
18,133.332,134.385,sì. aeo (C AM),Caregiver voc,reli
18,134.84,137.845,guarda. (DA) guarda. guarda. guarda qua : cosa sono queste? (QE),Caregiver voc,original
18,134.958,137.729,guarda. guarda. guarda. guarda qua : cosa sono queste? (DA QE),Caregiver voc,reli
18,137.859,138.485,bobo,Infant voc,original
18,137.937,138.485,bobo,Infant voc,reli
18,138.521,141.746,no questo sì è bobo (RE C RE) hai ragione. (RO) e queste? (QE),Caregiver voc,original
18,138.667,141.746,no questo sì è bobo  hai ragione. e queste? (RE C RE RO QE),Caregiver voc,reli
18,142.423,143.32,ae,Infant voc,original
18,142.545,143.32,ae,Infant voc,reli
18,143.721,144.34,cosa? (QE),Caregiver voc,original
18,143.745,144.34,cosa? (QE),Caregiver voc,reli
18,145.12,146.215,: le pepè? (QE),Caregiver voc,original
18,145.309,146.215,le pepè? (QE),Caregiver voc,reli
18,147.823,148.898,: cosa sono queste? (QE),Caregiver voc,original
18,147.882,148.967,cosa sono queste? (QE),Caregiver voc,reli
18,150.704,151.398,cosa?	 (- ),Caregiver voc,original
18,150.831,151.491,cosa?	 (- ),Caregiver voc,reli
18,152.64,153.742,dimmelo forte. (DA),Caregiver voc,original
18,152.752,153.697,dimmelo forte. (DA),Caregiver voc,reli
18,155.476,156.395,non vuoi? (QO),Caregiver voc,original
18,155.602,156.48,non vuoi? (QO),Caregiver voc,reli
18,157.062,158.198,cos’è questa? (QE),Caregiver voc,original
18,157.125,158.198,cos’è questa? (QE),Caregiver voc,reli
18,160.909,161.5,aeo,Infant voc,reli
18,160.909,161.5,aeo,Infant voc,original
18,161.54,164.395,ma no dov’è l’aereo (AD) qua questa è la casa (RE),Caregiver voc,original
18,161.715,164.395,ma no dov’è l’aereo  qua questa è la casa (AD RE),Caregiver voc,reli
18,165.059,166.193,non ti ricordi più? (QO),Caregiver voc,original
18,165.181,166.079,non ti ricordi più? (QO),Caregiver voc,reli
18,168.728,169.453,e questo? (RE),Caregiver voc,reli
18,168.728,169.453,e questo? (RE),Caregiver voc,original
18,169.943,170.739,il treno (RE),Caregiver voc,reli
18,169.943,170.739,il treno (RE),Caregiver voc,original
18,171.012,171.471,bru,Infant voc,original
18,171.136,171.471,bru,Infant voc,reli
18,171.751,173.125,bru (AM) : sì anche (C),Caregiver voc,original
18,171.878,173.125,bru  sì anche (AM C),Caregiver voc,reli
18,174.106,175.009,: e questo qua? (QE),Caregiver voc,original
18,174.276,175.009,e questo qua? (QE),Caregiver voc,reli
18,175.506,176.031,bru,Infant voc,original
18,175.583,175.917,bru,Infant voc,reli
18,176.106,176.609,bru.	 (AM),Caregiver voc,original
18,176.148,176.609,bru.	 (AM),Caregiver voc,reli
18,176.781,178.367,trattore. (RE) chiamiamolo bru (W),Caregiver voc,original
18,176.893,178.367,trattore. chiamiamolo bru (RE W),Caregiver voc,reli
18,178.756,179.346,queste? (QE),Caregiver voc,original
18,178.817,179.273,queste? (QE),Caregiver voc,reli
18,180.445,180.876,bru,Infant voc,original
18,180.474,180.632,bru,Infant voc,reli
18,180.864,182.595,no.(C) cosa sono queste? (QE),Caregiver voc,original
18,181.063,182.504,no. cosa sono queste? (C QE),Caregiver voc,reli
18,183.035,183.6,: pe?	(ET),Caregiver voc,original
18,183.164,183.519,pe?	(ET),Caregiver voc,reli
18,184.7,185.745,le peppe?	 (QE),Caregiver voc,original
18,184.753,185.745,le peppe?	 (QE),Caregiver voc,reli
18,187.006,188.598,son le scarpe queste amore (RE NE),Caregiver voc,original
18,187.088,188.598,son le scarpe queste amore (RE NE),Caregiver voc,reli
18,189.289,189.604,: s? (ET),Caregiver voc,original
18,189.386,189.516,s? (ET),Caregiver voc,reli
18,190.25,190.801,(s)carpe (AM),Caregiver voc,original
18,190.342,191.242,carpe.,Infant voc,original
18,190.422,190.857,xxx,Caregiver voc,reli
18,190.565,191.2,carpe.,Infant voc,reli
18,191.314,192.218,(s)carpe. ( - ),Caregiver voc,original
18,191.477,192.218,(s)carpe (AM),Caregiver voc,reli
18,192.571,193.1,(s)carpe. ( - ) ,Caregiver voc,reli
18,192.825,195.201,e la casa? (QE) non te la ricordi più la casa? (QO),Caregiver voc,original
18,193.331,195.201,e la casa? non te la ricordi più la casa? (QE QO),Caregiver voc,reli
18,197.885,199.942,no? (C) non vuoi giocare con mami? (QA),Caregiver voc,original
18,198.155,199.942,no? non vuoi giocare con mami? (C QA),Caregiver voc,reli
18,202.87,203.259,eh?	(C),Caregiver voc,original
18,203.006,203.259,eh?	(C),Caregiver voc,reli
18,203.493,205.595,dai allora. (DA) mi servi il caffè amore? (QA),Caregiver voc,original
18,203.598,205.595,dai allora. mi servi il caffè amore? (DA QA),Caregiver voc,reli
18,205.901,208.306,eh? (C) mi porti il caffè Francesco?	(QA NC),Caregiver voc,original
18,206.118,208.234,eh? mi porti il caffè Francesco?	(C QA NC),Caregiver voc,reli
18,209.515,213.418,no? (C) non me lo porti il caffè? (QA) lo beve la mamma?	 (QM) : guarda la mamma che beve il caffè. (DA RM),Caregiver voc,original
